courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 123,2,2012-2013,W,2L,2016-52283
CMSC 132,2,2010-2011,U,4L,2016-17328
CMSC 22,2,2009-2010,X,6L,2017-47886
CMSC 161,2,2006-2007,X,1L,2013-16025
CMSC 125,2,2006-2007,U,1L,2011-84341
CMSC 22,2,2007-2008,U,4L,2012-41854
CMSC 128,1,2012-2013,V,1L,2018-02226
CMSC 128,1,2011-2012,X,5L,2012-39339
CMSC 191,1,2006-2007,W,6L,2015-69281
CMSC 170,1,2015-2016,X,3L,2017-03467
CMSC 191,2,2008-2009,V,3L,2014-47013
CMSC 123,2,2007-2008,U,3L,2018-84778
CMSC 130,1,2008-2009,Z,4L,2011-97552
CMSC 11,1,2009-2010,W,4L,2012-26486
CMSC 123,2,2013-2014,W,4L,2013-64719
CMSC 128,2,2007-2008,Z,1L,2013-72088
CMSC 131,2,2006-2007,U,3L,2013-71119
CMSC 150,1,2006-2007,W,5L,2015-96421
CMSC 130,1,2015-2016,X,1L,2010-41523
CMSC 150,2,2014-2015,U,6L,2019-17469
CMSC 21,1,2009-2010,Z,3L,2011-08753
CMSC 170,1,2008-2009,X,5L,2015-24477
CMSC 170,2,2006-2007,Y,2L,2014-59128
CMSC 190-1,1,2015-2016,Y,5L,2015-61868
CMSC 161,2,2014-2015,Y,2L,2016-52738
CMSC 128,1,2015-2016,W,5L,2018-18098
CMSC 124,2,2013-2014,U,6L,2011-93561
CMSC 123,1,2008-2009,V,2L,2017-33970
CMSC 131,2,2014-2015,U,3L,2010-78677
CMSC 198,1,2013-2014,U,5L,2019-81294
CMSC 125,1,2010-2011,W,2L,2014-97047
CMSC 2,2,2012-2013,W,3L,2019-53616
CMSC 191,2,2010-2011,U,2L,2017-92776
CMSC 165,2,2007-2008,W,3L,2015-33797
CMSC 2,2,2008-2009,V,5L,2011-84037
CMSC 190-1,1,2014-2015,U,4L,2010-58684
CMSC 130,1,2011-2012,V,2L,2013-13963
CMSC 198,1,2010-2011,U,3L,2015-59388
CMSC 22,2,2014-2015,X,4L,2019-76421
CMSC 132,2,2013-2014,Z,4L,2014-56716
CMSC 123,1,2013-2014,X,5L,2019-92574
CMSC 2,1,2006-2007,U,1L,2012-96505
CMSC 165,2,2009-2010,Y,5L,2010-66638
CMSC 131,1,2007-2008,X,2L,2016-56727
CMSC 132,1,2014-2015,X,4L,2017-39154
CMSC 2,1,2006-2007,V,5L,2010-59609
CMSC 21,1,2015-2016,X,1L,2015-03790
CMSC 190-2,2,2013-2014,Y,5L,2013-69267
CMSC 191,2,2008-2009,U,1L,2019-31851
CMSC 124,2,2012-2013,U,2L,2019-59254
CMSC 123,1,2009-2010,W,4L,2010-11063
CMSC 150,2,2010-2011,W,2L,2010-84028
CMSC 21,2,2014-2015,U,4L,2011-88398
CMSC 161,1,2008-2009,X,3L,2013-05291
CMSC 150,1,2011-2012,Y,5L,2018-11391
CMSC 125,1,2013-2014,Y,6L,2012-07975
CMSC 161,2,2009-2010,X,3L,2012-19089
CMSC 150,2,2006-2007,Y,6L,2014-43866
CMSC 124,2,2015-2016,U,2L,2015-96178
CMSC 123,2,2011-2012,Y,5L,2017-50187
CMSC 190-2,2,2006-2007,X,4L,2019-70375
CMSC 2,1,2014-2015,U,1L,2018-23821
CMSC 131,2,2015-2016,Z,5L,2013-25116
CMSC 191,2,2010-2011,W,1L,2015-22608
CMSC 190-2,2,2011-2012,X,5L,2019-71790
CMSC 161,1,2007-2008,Z,1L,2013-39888
CMSC 125,2,2006-2007,U,6L,2014-89497
CMSC 131,1,2009-2010,U,6L,2014-26859
CMSC 150,2,2012-2013,V,5L,2018-77691
CMSC 190-2,1,2013-2014,V,6L,2015-78260
CMSC 150,1,2007-2008,X,6L,2014-36031
CMSC 124,2,2007-2008,V,1L,2010-66979
CMSC 21,2,2010-2011,X,4L,2013-01826
CMSC 130,1,2006-2007,V,5L,2011-98481
CMSC 165,1,2012-2013,X,5L,2019-87590
CMSC 165,1,2009-2010,V,6L,2014-52483
CMSC 198,1,2013-2014,Z,1L,2018-05992
CMSC 125,2,2006-2007,Z,4L,2014-81509
CMSC 190-2,2,2006-2007,X,4L,2010-73734
CMSC 11,2,2010-2011,X,5L,2011-63338
CMSC 165,2,2007-2008,X,5L,2013-84061
CMSC 124,1,2014-2015,Y,4L,2012-61568
CMSC 123,2,2014-2015,X,3L,2015-47267
CMSC 198,1,2013-2014,W,1L,2012-90383
CMSC 191,1,2015-2016,V,4L,2019-81951
CMSC 125,2,2007-2008,V,3L,2018-50487
CMSC 170,2,2007-2008,U,2L,2018-93292
CMSC 2,1,2007-2008,V,4L,2011-97454
CMSC 161,1,2008-2009,V,3L,2019-90716
CMSC 161,1,2011-2012,V,4L,2011-69748
CMSC 2,2,2015-2016,W,2L,2017-38754
CMSC 130,1,2008-2009,X,5L,2014-68985
CMSC 125,1,2013-2014,W,3L,2010-60197
CMSC 22,1,2009-2010,Z,1L,2017-19283
CMSC 123,1,2012-2013,W,5L,2012-62426
CMSC 190-2,1,2014-2015,V,3L,2012-83436
CMSC 190-2,2,2007-2008,W,1L,2010-91666
CMSC 124,2,2011-2012,Y,1L,2018-81434
CMSC 132,2,2006-2007,X,2L,2010-51476
CMSC 125,1,2007-2008,Z,5L,2010-76463
CMSC 125,1,2010-2011,X,2L,2015-83975
CMSC 11,2,2007-2008,X,6L,2019-51499
CMSC 125,1,2014-2015,W,6L,2016-62193
CMSC 125,1,2011-2012,V,1L,2010-18920
CMSC 170,1,2015-2016,Z,3L,2012-85992
CMSC 125,2,2008-2009,W,3L,2012-57686
CMSC 161,1,2015-2016,U,3L,2011-22807
CMSC 190-2,2,2015-2016,Y,6L,2011-57367
CMSC 191,2,2007-2008,X,1L,2012-83112
CMSC 165,2,2010-2011,V,3L,2019-37313
CMSC 2,2,2008-2009,V,2L,2019-95675
CMSC 125,2,2012-2013,Z,1L,2017-39147
CMSC 22,2,2011-2012,Z,1L,2014-06835
CMSC 150,1,2012-2013,V,4L,2011-77263
CMSC 198,1,2012-2013,W,2L,2011-72152
CMSC 161,2,2015-2016,X,1L,2013-86418
CMSC 2,2,2015-2016,X,5L,2011-50795
CMSC 2,1,2008-2009,V,2L,2013-95678
CMSC 190-1,2,2010-2011,Y,4L,2011-36734
CMSC 124,2,2011-2012,U,1L,2018-13711
CMSC 161,2,2007-2008,U,2L,2015-69358
CMSC 161,2,2007-2008,V,5L,2016-32470
CMSC 131,1,2013-2014,Y,2L,2015-89148
CMSC 130,2,2008-2009,Y,4L,2016-37231
CMSC 21,2,2011-2012,Z,5L,2019-47944
CMSC 190-1,2,2008-2009,W,5L,2010-73586
CMSC 165,2,2009-2010,W,4L,2019-93490
CMSC 128,1,2007-2008,U,1L,2011-22244
CMSC 11,1,2013-2014,V,3L,2014-47901
CMSC 161,2,2007-2008,Y,3L,2017-50621
CMSC 161,1,2009-2010,W,4L,2014-34320
CMSC 21,1,2015-2016,W,5L,2010-96321
CMSC 165,2,2010-2011,Y,5L,2012-90380
CMSC 165,2,2009-2010,U,5L,2014-19243
CMSC 2,2,2007-2008,Z,2L,2016-27765
CMSC 130,2,2008-2009,W,1L,2012-56224
CMSC 2,2,2010-2011,W,1L,2014-98419
CMSC 170,1,2008-2009,Y,2L,2014-53469
CMSC 11,2,2012-2013,V,6L,2013-02332
CMSC 190-2,1,2010-2011,W,2L,2012-16638
CMSC 198,2,2012-2013,Z,1L,2017-51295
CMSC 123,1,2008-2009,W,5L,2013-30919
CMSC 22,2,2012-2013,X,3L,2011-16672
CMSC 150,1,2014-2015,Z,4L,2010-89937
CMSC 131,2,2014-2015,Z,5L,2016-07327
CMSC 150,1,2015-2016,Y,5L,2011-34956
CMSC 124,2,2007-2008,W,1L,2015-33258
CMSC 130,1,2009-2010,U,2L,2018-85251
CMSC 150,1,2014-2015,V,1L,2013-32998
CMSC 190-2,1,2006-2007,Y,2L,2019-85856
CMSC 123,1,2010-2011,W,5L,2016-89255
CMSC 150,1,2008-2009,V,3L,2010-05921
CMSC 124,1,2006-2007,W,3L,2010-28997
CMSC 131,2,2007-2008,W,2L,2018-18243
CMSC 190-1,1,2010-2011,V,1L,2016-57936
CMSC 132,2,2014-2015,Z,1L,2014-31322
CMSC 198,2,2014-2015,U,6L,2018-86103
CMSC 190-1,1,2014-2015,X,4L,2010-90437
CMSC 21,1,2012-2013,Y,4L,2014-27150
CMSC 130,2,2010-2011,X,5L,2014-92165
CMSC 123,1,2008-2009,U,3L,2017-57134
CMSC 11,1,2013-2014,Y,1L,2018-01464
CMSC 22,1,2014-2015,Z,6L,2013-32570
CMSC 165,2,2011-2012,Z,1L,2015-67704
CMSC 125,1,2011-2012,X,5L,2011-75516
CMSC 150,1,2008-2009,U,6L,2018-45682
CMSC 11,2,2008-2009,V,5L,2010-66152
CMSC 123,1,2012-2013,Y,5L,2014-69060
CMSC 170,2,2006-2007,V,5L,2015-18108
CMSC 170,1,2007-2008,W,2L,2018-32747
CMSC 161,2,2012-2013,V,5L,2016-33755
CMSC 190-1,1,2006-2007,Y,1L,2010-58613
CMSC 150,2,2008-2009,Z,4L,2011-16076
CMSC 128,1,2010-2011,X,6L,2014-11488
CMSC 22,1,2007-2008,W,4L,2013-99064
CMSC 150,1,2006-2007,Y,5L,2017-60559
CMSC 150,1,2010-2011,X,3L,2017-63961
CMSC 190-1,1,2013-2014,Z,1L,2017-13260
CMSC 128,1,2011-2012,X,5L,2013-16394
CMSC 21,2,2014-2015,X,6L,2013-13651
CMSC 150,1,2006-2007,Y,2L,2010-15449
CMSC 130,1,2011-2012,V,4L,2011-26201
CMSC 128,2,2015-2016,Z,5L,2011-92214
CMSC 130,2,2013-2014,U,5L,2012-17152
CMSC 124,2,2012-2013,V,4L,2016-69142
CMSC 161,1,2010-2011,U,5L,2012-56228
CMSC 124,1,2006-2007,W,5L,2019-25052
CMSC 150,2,2006-2007,U,1L,2017-66742
CMSC 150,1,2007-2008,V,6L,2018-38021
CMSC 165,1,2010-2011,V,6L,2014-24414
CMSC 123,1,2012-2013,U,1L,2013-64149
CMSC 11,1,2015-2016,X,5L,2016-38272
CMSC 130,1,2009-2010,Z,6L,2019-51686
CMSC 131,2,2010-2011,W,2L,2018-10902
CMSC 190-2,2,2006-2007,W,2L,2013-43614
CMSC 2,2,2012-2013,V,1L,2018-11813
CMSC 11,1,2012-2013,U,1L,2015-72159
CMSC 2,1,2009-2010,Y,4L,2012-76084
CMSC 190-1,1,2013-2014,U,4L,2014-86549
CMSC 161,1,2011-2012,U,6L,2016-71445
CMSC 128,1,2010-2011,W,3L,2012-71480
CMSC 131,1,2006-2007,X,5L,2019-82026
CMSC 170,2,2007-2008,X,5L,2015-65227
CMSC 161,1,2013-2014,W,6L,2014-10108
CMSC 190-2,2,2007-2008,X,5L,2015-07094
CMSC 131,2,2011-2012,Y,1L,2014-94268
CMSC 190-1,2,2010-2011,V,4L,2011-19324
CMSC 190-1,1,2013-2014,Y,1L,2011-98128
CMSC 190-2,2,2009-2010,X,2L,2018-12726
CMSC 124,1,2010-2011,X,5L,2012-64823
CMSC 11,1,2006-2007,V,6L,2016-89581
CMSC 191,1,2009-2010,Z,1L,2015-82894
CMSC 130,2,2008-2009,V,5L,2010-79123
CMSC 191,1,2010-2011,V,5L,2010-38621
CMSC 2,2,2011-2012,Y,2L,2017-33885
CMSC 125,1,2014-2015,U,2L,2019-18656
CMSC 150,2,2010-2011,V,1L,2014-83013
CMSC 150,2,2010-2011,W,2L,2013-37706
CMSC 124,2,2009-2010,Z,1L,2018-48730
CMSC 22,2,2015-2016,Y,3L,2018-89143
CMSC 22,1,2007-2008,U,3L,2019-49885
CMSC 170,1,2007-2008,Y,1L,2011-15684
CMSC 191,2,2011-2012,V,1L,2012-58649
CMSC 123,1,2012-2013,X,5L,2010-01126
CMSC 190-2,2,2012-2013,W,2L,2014-55526
CMSC 191,2,2015-2016,Y,6L,2018-95805
CMSC 22,2,2009-2010,Y,2L,2010-09450
CMSC 161,1,2010-2011,Y,6L,2014-59296
CMSC 11,1,2012-2013,V,2L,2013-99404
CMSC 161,2,2012-2013,Z,4L,2011-17876
CMSC 123,1,2011-2012,X,2L,2018-44538
CMSC 128,2,2013-2014,X,3L,2014-00390
CMSC 132,2,2014-2015,X,6L,2011-71895
CMSC 124,2,2008-2009,U,1L,2017-03683
CMSC 170,2,2010-2011,X,6L,2015-03781
CMSC 21,2,2007-2008,Z,1L,2012-84066
CMSC 161,1,2006-2007,Z,1L,2014-97351
CMSC 125,2,2007-2008,V,6L,2019-95729
CMSC 124,2,2010-2011,Z,2L,2015-65326
CMSC 165,2,2011-2012,X,6L,2011-72914
CMSC 150,1,2010-2011,Y,5L,2014-70199
CMSC 125,1,2007-2008,U,6L,2011-11910
CMSC 191,2,2013-2014,X,4L,2015-16514
CMSC 21,1,2015-2016,V,6L,2017-49729
